Title,Question user asked,Question system thought,Answer given,Category of answer,Confidence score,Timestamp
CS Open Day FAQ,hello,Hello,Hello there! It's great to see you.,conversational,100.0,2026-03-18 14:33
CS Open Day FAQ,hello my name is atul,What is your name?,"I don't have a name, but you can call me your virtual assistant.",conversational,63.4,2026-03-18 15:38
CS Open Day FAQ,how old are you,Who are you?,I am an interactive AI avatar designed to help answer your questions.,conversational,61.5,2026-03-18 15:38
CS Open Day FAQ,where is the computer science building,What is the difference between Computer Science and Computer Science and Artificial Intelligence?,"That's outside my knowledge area, I'm afraid.",no_answer,47.4,2026-03-18 15:39
CS Open Day FAQ,what course content would i study in computer science,Do I need Computer Science at A-level?,No. Many students join the programme without having studied Computer Science before. The first-year programming modules are designed for students with no previous programming experience.,answers,66.3,2026-03-18 15:40
CS Open Day FAQ,that is so cool cannot wait to get started,that's the dumbest thing I've heard,"Let's keep things civil, shall we?",rude,69.0,2026-03-18 15:40
CS Open Day FAQ,what is computer science,What is the difference between Computer Science and Computer Science and Artificial Intelligence?,"In the first two years, students on both programmes study the same core modules and cover the same fundamental computer science topics. Later, students on Computer Science and Artificial Intelligence take certain AI modules as compulsory and their final year project must include an AI element. Students on Computer Science have more flexibility: they can still choose AI modules and complete an AI-related project, but it is optional rather than compulsory.",answers,63.0,2026-03-18 15:41
CS Open Day FAQ,is ai good or bad,Can I take AI modules if I study Computer Science?,I'm not sure about that one. Could you rephrase?,no_answer,55.1,2026-03-18 15:42
CS Open Day FAQ,Do you like computer science,Do I need Computer Science at A-level?,No. Many students join the programme without having studied Computer Science before. The first-year programming modules are designed for students with no previous programming experience.,answers,68.9,2026-03-18 15:42
CS Open Day FAQ,how much will i earn after graduating,What if I already studied Computer Science at A-level?,I'm not sure about that one. Could you rephrase?,no_answer,52.0,2026-03-18 15:43
CS Open Day FAQ,will i be rich after graduating,What if I already studied Computer Science at A-level?,I'm not sure about that one. Could you rephrase?,no_answer,53.1,2026-03-18 15:43
CS Open Day FAQ,what is my quality of life after graduating,What if I already studied Computer Science at A-level?,"I'm sorry, I don't have a confident answer for that.",no_answer,52.4,2026-03-18 15:44
CS Open Day FAQ,if i do a placement will i get a job,Do placements help with graduate jobs?,Yes. Many companies use placements as an early recruitment opportunity. Students who perform well during their placement may be invited to return as graduate employees after finishing their degree.,answers,79.0,2026-03-18 15:44
CS Open Day FAQ,do students get paid,Do placement students get paid?,"Most placements are paid. Salaries vary depending on the company, and some placements offer very competitive salaries.",answers,78.9,2026-03-18 15:45
CS Open Day FAQ,can i get a grad job withiut doing a placmenet,Can students gain work experience during the degree?,Yes. Some students take part in micro-internships or summer internships during their studies. These opportunities allow students to gain industry experience alongside their degree.,answers,61.6,2026-03-18 15:45
CS Open Day FAQ,"Yeah, wait",this sucks,I'd prefer if we kept this conversation professional.,rude,69.0,2026-03-18 15:46
CS Open Day FAQ,What is a micro internship?,Can students gain work experience during the degree?,"I'm sorry, I don't have a confident answer for that.",no_answer,52.4,2026-03-18 15:46
CS Open Day FAQ,Please could you give it I guess,you're an idiot,That language is not appropriate. Please keep things respectful.,rude,65.3,2026-03-18 15:46
CS Open Day FAQ,hi,Hello,Hello there! It's great to see you.,conversational,79.5,2026-03-18 15:47
CS Open Day FAQ,do i study ai,Can I take AI modules if I study Computer Science?,Yes. Computer Science students can choose AI-related modules and can also complete a final year project with an AI focus. The difference is that it is optional rather than compulsory.,answers,76.5,2026-03-18 15:47
CS Open Day FAQ,thank you,Good evening,Good evening! I hope you've had a pleasant day,conversational,66.9,2026-03-18 15:47
CS Open Day FAQ,what grades do i need\,What are the entry requirements for the programme?,"Mathematics at A-level is required. For our programmes, the typical offer is AAA for the three-year degree and AAA* for the four-year Integrated Master's. The other A-level subjects are flexible.",answers,62.8,2026-03-18 15:47
CS Open Day FAQ,is the course maths heavy,Do I need Computer Science at A-level?,I'm not sure about that one. Could you rephrase?,no_answer,55.6,2026-03-18 15:49
CS Open Day FAQ,is computer science alevel needed,Do I need Computer Science at A-level?,No. Many students join the programme without having studied Computer Science before. The first-year programming modules are designed for students with no previous programming experience.,answers,74.4,2026-03-18 15:49
CS Open Day FAQ,"hello. Is computer science at university very maths based, is there lots of maths involved in the modules?",Can I take AI modules if I study Computer Science?,Yes. Computer Science students can choose AI-related modules and can also complete a final year project with an AI focus. The difference is that it is optional rather than compulsory.,answers,65.7,2026-03-18 15:59
