question,answer
"What is the difference between Computer Science and Computer Science and Artificial Intelligence?","In the first two years, students on both programmes study the same core modules and cover the same fundamental computer science topics. Later, students on Computer Science and Artificial Intelligence take certain AI modules as compulsory and their final year project must include an AI element. Students on Computer Science have more flexibility: they can still choose AI modules and complete an AI-related project, but it is optional rather than compulsory."
"Can I take AI modules if I study Computer Science?","Yes. Computer Science students can choose AI-related modules and can also complete a final year project with an AI focus. The difference is that it is optional rather than compulsory."
"What are the entry requirements for the programme?","Mathematics at A-level is required. For our programmes, the typical offer is AAA for the three-year degree and AAA* for the four-year Integrated Master's. The other A-level subjects are flexible."
"Do I need Computer Science at A-level?","No. Many students join the programme without having studied Computer Science before. The first-year programming modules are designed for students with no previous programming experience."
"What if I already studied Computer Science at A-level?","Some of the early material may feel familiar. However, the university curriculum goes well beyond A-level, so the content becomes more advanced quite quickly."
"What is the difference between the three-year degree and the four-year Integrated Master's?","The three-year programme leads to a Bachelor's degree. The four-year programme is an Integrated Master's that includes an additional final year with more advanced study and projects. At Loughborough, the years are referred to as Part A, Part B, Part C, and Part D, and the Integrated Master's includes Part D."
"Can I move from the four-year programme to the three-year programme?","Yes. Some students decide to finish after three years and graduate with the Bachelor's degree instead. This is generally possible."
"Can I move from the three-year programme to the four-year Integrated Master's?","This is possible but less common. If a student wishes to move to the Integrated Master's programme, their academic performance will normally be reviewed and strong results are expected."
"Does the first year count towards my final degree classification?","No. The first year (Part A) does not contribute to the final degree classification. However, it is still important because it prepares you for the rest of the degree and first-year results can be considered in placement applications."
"How is the degree calculated for the three-year programme?","For the three-year degree: Part A does not count, Part B contributes 25%, and Part C contributes 75%. The final year therefore has the largest impact on the final classification."
"How is the degree calculated for the four-year Integrated Master's?","For the four-year programme: Part A does not count, Part B contributes 20%, Part C contributes 40%, and Part D contributes 40%. The last two years therefore contribute most of the final degree result."
"Why should I work hard in the first year if it does not count?","Companies often look at first-year results when students apply for placements. Strong performance can help when applying for competitive placement opportunities."
"Should I choose the course with placement or without placement?","You do not need to worry too much about this decision initially because the placement option is flexible. Students can apply for a placement during their degree, and if they decide not to take one, they can return to the standard programme."
"Can I switch between placement and non-placement routes?","Yes. Students who start without placement can decide to apply for one during their first or second year. If a student is on the placement route but does not secure a placement, they can move back to the standard course."
"Why should I consider doing a placement year?","A placement allows you to work in industry for a year and apply the knowledge you learned during your studies. It also provides valuable experience with recruitment processes such as writing CVs, interviews, and assessment centres."
"Do placements help with graduate jobs?","Yes. Many companies use placements as an early recruitment opportunity. Students who perform well during their placement may be invited to return as graduate employees after finishing their degree."
"Do placement students get paid?","Most placements are paid. Salaries vary depending on the company, and some placements offer very competitive salaries."
"Does the university help students find placements?","Yes. The university provides career services, industry connections, and a placement coordinator who supports students throughout the application process."
"Are there optional modules in the first and second year?","No. In Part A and Part B, students take core modules designed to provide fundamental knowledge in computer science."
"When do I choose optional modules?","Optional modules are available in the final year (Part C)."
"What areas can I specialise in?","Students can explore areas such as cloud computing, networking, data science, artificial intelligence, and theoretical computer science. The exact options are listed in the prospectus."
"How do students choose their optional modules?","Towards the end of Part B, the department organises an event where students can learn about available modules. Module leaders explain their subjects and students can ask questions before making their selections."
"How do students choose their final year project?","Students can talk to staff who offer project topics and ask questions before choosing. This helps them select a project that fits their interests."
"Are there opportunities outside the formal modules?","Yes. Students are encouraged to join societies, take part in hackathons, and participate in activities organised by the students' union. These activities are not assessed but help students develop practical skills and meet other students with similar interests."
"Can students gain work experience during the degree?","Yes. Some students take part in micro-internships or summer internships during their studies. These opportunities allow students to gain industry experience alongside their degree."
"How would the university support students with neurodiversity or disability?","Equality, diversity, and inclusivity are embedded in all practices. The Student Wellbeing and Inclusivity team assesses and supports students, makes reasonable adjustments, and works closely with personal academic tutors and academic departments to provide the support students need."
